Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-JUN-2023,3160.9,3162.25,3129.95,3155.8,88736570,1161.04
12-JUN-2023,3163.6,3178.65,3145.85,3161.65,102033731,1435.95
13-JUN-2023,3170.35,3181.6,3160.85,3176.95,91371811,1055.75
14-JUN-2023,3183.05,3204.05,3182.4,3198.3,73826347,1067.27
15-JUN-2023,3198.2,3199.45,3181.8,3195.35,101100275,1166.61
16-JUN-2023,3201.4,3226.9,3189.9,3212.4,102872946,1747.64
19-JUN-2023,3220.9,3221.95,3190.75,3196.05,66589636,1084.5
20-JUN-2023,3198.95,3222.25,3186.05,3216.65,71662321,1072.31
21-JUN-2023,3222.35,3249.1,3214.65,3245.25,114494905,1559.89
22-JUN-2023,3248.15,3259.6,3206.5,3214.25,92504544,1169.32
23-JUN-2023,3215.8,3219.65,3180.95,3186.15,73294235,959.42
26-JUN-2023,3193.7,3198.85,3171.7,3179.05,105462537,1060.36
27-JUN-2023,3193.8,3200.1,3176.1,3181.5,97289095,1141.66
28-JUN-2023,3188.5,3216.7,3171.55,3206.2,250859602,3353.77
30-JUN-2023,3234.15,3260.9,3222.15,3257.95,118814569,1572.15
03-JUL-2023,3263.25,3265.2,3238.45,3257.4,106361316,1248.42
04-JUL-2023,3264.1,3264.9,3232.75,3252.6,73283231,930.77
05-JUL-2023,3258.2,3283,3249.65,3266.05,88654252,941.47
06-JUL-2023,3286.65,3341.9,3269.1,3337.55,171034487,1767.88
07-JUL-2023,3330.15,3345.4,3286.8,3292,119029197,1445.7
10-JUL-2023,3297.3,3301.55,3257.35,3267.95,107022851,1234.16
11-JUL-2023,3282.85,3312.75,3274,3309.7,150084969,2832.73
12-JUL-2023,3328.1,3345.2,3311.9,3316.25,143341700,2056.27
13-JUL-2023,3326.45,3327.3,3252.4,3261.05,125272062,2049.24
14-JUL-2023,3269.2,3275.6,3241.7,3266.65,130597906,2247.7
17-JUL-2023,3273.5,3283.35,3252.05,3254.4,72564703,1458.8
18-JUL-2023,3257.35,3276.1,3244.4,3253.3,64695460,1069.64
19-JUL-2023,3271.85,3310.75,3261.8,3280.85,148617101,1843.5
20-JUL-2023,3284.05,3295.05,3273.4,3291.85,99648526,1336.91
21-JUL-2023,3289.9,3311.5,3280.85,3303.2,102830710,1291.01
24-JUL-2023,3313.9,3348.65,3311,3337.5,239472378,2054.54
25-JUL-2023,3357.3,3379.8,3350.95,3376.95,240152296,2626.5
26-JUL-2023,3393.75,3398.1,3364.8,3376.4,113073329,1484.14
27-JUL-2023,3384.85,3387.75,3361.75,3370.15,93933055,1333.39
28-JUL-2023,3379.85,3441.35,3363.9,3429.15,171031856,2417.84
31-JUL-2023,3454.85,3516.75,3431.55,3512.9,233104548,3002.42
01-AUG-2023,3503.6,3535.5,3478.55,3523.85,192387876,3380.74
02-AUG-2023,3528.35,3532.1,3421.8,3447.85,160658550,2376.87
03-AUG-2023,3446.7,3466.35,3405.85,3424.85,127356462,1818.6
04-AUG-2023,3448.9,3456.9,3427.45,3442.15,125258801,1275.87
07-AUG-2023,3463.8,3463.8,3438.05,3444.25,85681928,1030.62
08-AUG-2023,3458.4,3461.6,3415.45,3436.7,99617902,1448.7
09-AUG-2023,3452.7,3478.6,3432.5,3474.95,149629242,2261.29
10-AUG-2023,3482.8,3504.35,3465.05,3472.7,104009022,1362.2
11-AUG-2023,3478.9,3491.05,3465.75,3470.9,127603782,1591.28
14-AUG-2023,3489.9,3489.9,3442.05,3468.4,97604072,1622.82
16-AUG-2023,3462.05,3509.05,3447.8,3503.7,102710206,2774.02
17-AUG-2023,3512.4,3514.65,3464.2,3471.45,100592158,3298.7
18-AUG-2023,3460.8,3466.85,3423.4,3433.8,84977717,2283.87
21-AUG-2023,3445.6,3484.35,3436.7,3480.5,60298384,1316.49
22-AUG-2023,3488.2,3521.45,3485.4,3513.3,152685514,1769.89
23-AUG-2023,3532.7,3532.7,3508.55,3519.7,126633650,1935.37
24-AUG-2023,3533,3544.5,3490.25,3497.05,103873888,1575.2
25-AUG-2023,3509.4,3512.85,3463.55,3470.15,92912862,1370.37
28-AUG-2023,3487.1,3509.4,3480.9,3504.3,103665314,1220.86
29-AUG-2023,3515,3530.35,3510.7,3523.45,118904926,1306.72
30-AUG-2023,3533.1,3536.6,3505.45,3508.45,105279347,1817.58
31-AUG-2023,3516.95,3517.95,3481.85,3492,118787535,2391.86
01-SEP-2023,3496.3,3619.3,3489.8,3614.25,173779799,2808.34
04-SEP-2023,3650.6,3698.9,3614.25,3689.9,239395695,3150.67
05-SEP-2023,3706.9,3721.5,3676.1,3706.85,268395716,3149.92
06-SEP-2023,3732.65,3733.7,3668.35,3694.25,200272021,2370.27
07-SEP-2023,3706.95,3769.55,3683.25,3760.55,232093946,5558.61
08-SEP-2023,3779.7,3849.5,3775.55,3828.3,195943129,5275.95
11-SEP-2023,3861.9,3863.2,3825.3,3859,382749856,4273.76
12-SEP-2023,3890.65,3895.2,3701.3,3709.1,429111837,5245.67
13-SEP-2023,3729,3777.75,3705.7,3771.3,278535958,3330.18
14-SEP-2023,3798.4,3818.1,3783.4,3812.7,368021688,3419.62
15-SEP-2023,3832.85,3843.9,3788.7,3796.2,199304843,3013.14
18-SEP-2023,3834.8,3859.7,3792,3852.75,236410345,2994.49
20-SEP-2023,3842.85,3898.35,3834.85,3876.4,357328859,4291.73
21-SEP-2023,3867.55,3876.95,3807.1,3815.6,271405064,2878.61
22-SEP-2023,3806.2,3824.55,3780.1,3807.1,305864660,3031.24
25-SEP-2023,3823.1,3831.5,3786.7,3826.2,160578759,1915.28
26-SEP-2023,3830.8,3851.8,3823.95,3835.95,152066124,3507.37
27-SEP-2023,3847.35,3851.85,3813.55,3848.25,144301721,2445.14
28-SEP-2023,3863.3,3875.4,3824.7,3837.8,262067814,4094.7
29-SEP-2023,3864.2,3922.15,3857.9,3909.9,182677272,3179.97
03-OCT-2023,3894.3,3894.3,3849.5,3859.5,135845260,2150.55
04-OCT-2023,3848.65,3849.45,3783.35,3817.2,136163386,2074.63
05-OCT-2023,3821.05,3837.35,3781.35,3808.55,173565586,2652.2
06-OCT-2023,3822.4,3825.9,3793.8,3813.7,117333581,1499.3
09-OCT-2023,3793.95,3807.4,3758.45,3792.85,131500651,2041.39
10-OCT-2023,3808.35,3876.65,3804.3,3869.7,172444620,2590.46
11-OCT-2023,3877.9,3883.75,3860.3,3866.3,148434513,2015.01
12-OCT-2023,3867,3916.75,3865.1,3905.1,159136350,2272.09
13-OCT-2023,3888.4,3925.35,3883.3,3912.3,157799530,2035.03
16-OCT-2023,3920.6,3951.65,3911.85,3941.3,166251772,2337.67
17-OCT-2023,3956.1,3991.95,3945.9,3986.75,148502008,2092.68
18-OCT-2023,4002,4004.6,3952,3962.15,162096496,2069.72
19-OCT-2023,3935.95,3955.45,3913.8,3946.85,269832294,2749.87
20-OCT-2023,3940.95,3948.15,3903.65,3920,285291128,2901.8
23-OCT-2023,3918.1,3924.9,3832.05,3847.55,203871872,2178.78
25-OCT-2023,3845.1,3869.6,3784.25,3829,203875732,2488.62
26-OCT-2023,3810.35,3813.9,3753.8,3791.85,162167926,2281.33
27-OCT-2023,3801.05,3878.5,3801.05,3871.15,137175115,2087.79
30-OCT-2023,3884.05,3890.7,3835,3884.7,131255132,1600.91
31-OCT-2023,3897.8,3902.45,3862.4,3882.45,101030663,1358.34
01-NOV-2023,3886.9,3895.15,3845.25,3848.6,104458891,1392.57
02-NOV-2023,3872.45,3890.75,3865.6,3884.55,128191236,1617.49
03-NOV-2023,3890.8,3924.6,3887.9,3912.05,86390824,1200.02
06-NOV-2023,3927.3,3971.5,3926.95,3967.25,91455494,1697.92
07-NOV-2023,3969.2,3999.05,3952.75,3976.35,130072611,2171.02
08-NOV-2023,3990.15,4003.1,3985,3994.3,127239917,1913.99
09-NOV-2023,4002.55,4009.95,3974.65,3997.7,106302645,1973.31
10-NOV-2023,3999.45,4039.65,3985.15,4036.1,97836539,1553.94
12-NOV-2023,4090.2,4099,4067,4074.35,31722465,639.21
13-NOV-2023,4072.15,4149.55,4057.55,4134.35,172431165,3310.57
15-NOV-2023,4197.6,4197.7,4142.65,4148.15,154238392,3359.78
16-NOV-2023,4158.75,4182.2,4144.6,4151.65,139017265,2896.24
17-NOV-2023,4158.25,4158.35,4124.95,4148.9,124825996,1979.21
20-NOV-2023,4165.6,4184.1,4140.45,4150.5,92396273,1835.99
21-NOV-2023,4171.4,4174.2,4119.85,4147.45,208768991,2650.44
22-NOV-2023,4153.75,4169.05,4127.4,4157.7,150953496,1832.48
23-NOV-2023,4161.9,4173.75,4133.3,4147.85,104064268,2127.12
24-NOV-2023,4156.7,4176.75,4135.7,4141.35,138723508,1995.62
28-NOV-2023,4171.75,4204.85,4141.8,4199.5,151039989,2154.54
29-NOV-2023,4219.85,4221.7,4187.45,4207.3,163227979,2536.96
30-NOV-2023,4214.15,4254.65,4193.65,4242.5,323415337,5290.86
01-DEC-2023,4272.15,4340.15,4268.6,4291.65,250420820,3812.97
04-DEC-2023,4367.65,4439.8,4359.55,4409.5,290826005,5011.02
05-DEC-2023,4419.75,4485.15,4368.65,4477.7,208963540,3740.61
06-DEC-2023,4512.45,4519.2,4451.6,4484.45,190865531,4063.77
07-DEC-2023,4512.5,4560.85,4477.4,4535.5,317612879,4774.26
08-DEC-2023,4561.7,4593.45,4459.9,4507.75,200948909,3487.52
11-DEC-2023,4520.15,4572.15,4511.8,4550.8,155346106,2562.2
12-DEC-2023,4552.9,4565.4,4484.05,4508.2,145555743,2280.05
13-DEC-2023,4515.5,4574.3,4500.3,4569,192324151,3294.31
14-DEC-2023,4610.8,4612.7,4569.7,4586.75,288408036,4510.05
15-DEC-2023,4628.2,4692.5,4593.5,4682.3,274046097,4762.86
18-DEC-2023,4696.35,4696.35,4639.35,4653.35,166834048,2961.28
19-DEC-2023,4674.45,4752.5,4652.3,4738.7,166972734,4077.43
20-DEC-2023,4772.7,4841,4592.8,4609.15,299775122,6538.51
21-DEC-2023,4581.75,4695.35,4555.9,4687.8,229371274,4679.35
22-DEC-2023,4721.6,4753.1,4685.6,4732.15,149134469,3015.55
26-DEC-2023,4764.1,4841,4757.5,4819.65,179053727,4327.67
27-DEC-2023,4858.35,4867.7,4778.65,4797.2,181667051,3773.95
28-DEC-2023,4825.7,4909.15,4810.95,4901,272073630,5528.69
29-DEC-2023,4899.75,4899.75,4829.7,4860.45,122862084,2545.2
01-JAN-2024,4880.65,4917.6,4868.5,4885.8,125516683,2210.53
02-JAN-2024,4914.25,4918.85,4834.2,4897.8,191139391,3762.3
03-JAN-2024,4894.85,4909.1,4851.3,4883.05,236008880,3507.83
04-JAN-2024,4923.15,5000.45,4906.9,4982.95,284576591,4950.67
05-JAN-2024,5019.05,5045.55,4956.35,4983.65,289251704,4391.28
08-JAN-2024,5011.4,5018.1,4963.15,4970.25,147867702,2748.51
09-JAN-2024,5004.8,5024.45,4974.55,4995.4,200779211,3240.68
10-JAN-2024,4985.35,4988.95,4892.05,4944.1,235214746,4924.21
11-JAN-2024,4976.65,4984.55,4941.25,4958.05,145479971,3355.58
12-JAN-2024,4984.1,4990.1,4934.55,4980.75,183241536,3294.92
15-JAN-2024,5024.25,5098.3,4978.25,5093.2,341187880,5398.85
16-JAN-2024,5107.95,5118.45,5007.9,5054.7,238662675,4180.08
17-JAN-2024,5027.3,5095.05,4996.8,5030.6,266504786,5891.17
18-JAN-2024,4963.05,5001.3,4863.75,4980.65,350667845,5969.18
19-JAN-2024,5031.4,5116.75,5021.75,5105.5,541883569,7369.78
20-JAN-2024,5143.2,5243.95,5137.7,5187.35,527227876,6869.26
23-JAN-2024,5261,5270.55,4987.35,5012.45,492256854,6957.36
24-JAN-2024,5023.2,5147.1,4969.6,5135.55,423815413,6207.71
25-JAN-2024,5158.35,5219.65,5150.15,5188.65,558402720,7888.32
29-JAN-2024,5248.15,5442.95,5238.95,5420,669471991,10360.04
30-JAN-2024,5455.35,5463.5,5345.8,5353,542268367,8533.36
31-JAN-2024,5383.5,5421.8,5341.95,5410.4,395889631,7305.82
01-FEB-2024,5445.3,5494.9,5386.3,5435.6,513710179,8270.5
02-FEB-2024,5473.25,5662.35,5469.3,5647.8,1064311337,16148.27
05-FEB-2024,5716.25,5880.9,5672.75,5758.75,1140457360,17711.05
06-FEB-2024,5797.75,5798.75,5655.75,5775.25,523126401,8944.42
07-FEB-2024,5812.35,5824.1,5703,5740.85,382413248,6678.81
08-FEB-2024,5786.15,5883.8,5763.05,5818,400085541,8394.45
09-FEB-2024,5856.6,5865.25,5565.75,5711.5,448023621,7433.29
12-FEB-2024,5685.1,5698.65,5420.5,5453.5,654561731,8846.3
13-FEB-2024,5478.55,5561.55,5399.15,5542.6,752955990,10240.2
14-FEB-2024,5524.85,5714.65,5483.05,5695.65,552692013,8095.06
15-FEB-2024,5737,5907.45,5727.8,5885.4,546682417,9499.36
16-FEB-2024,5915.25,5932.5,5841.4,5854.7,374010723,7332.65
19-FEB-2024,5885.7,5934.6,5830.9,5850.15,388738488,6357.58
20-FEB-2024,5863.4,5921.15,5828.75,5897.7,338666036,7064.26
21-FEB-2024,5916.1,5935,5741.8,5762.15,263544550,5199.7
22-FEB-2024,5796.8,5871.75,5679.75,5855.9,363439445,6481.99
23-FEB-2024,5875.05,5881.15,5822.65,5861.55,244184075,4609.05
26-FEB-2024,5863.45,5890.05,5836.6,5858.55,243913224,4315.83
27-FEB-2024,5832.05,5886.3,5824.75,5868.45,204141374,4292.85
28-FEB-2024,5871,5887.55,5740.1,5757.35,222959963,4679.79
29-FEB-2024,5779.2,5801.4,5667.5,5776.15,272709047,5149.92
01-MAR-2024,5807.4,5895.75,5807.1,5887.05,177011583,3680.26
02-MAR-2024,5908.55,5914.7,5877.95,5898.9,16433223,305.53
04-MAR-2024,5943.85,6054.55,5938.3,6031.4,236226171,6166.12
05-MAR-2024,6036.3,6100.9,6008.75,6091.8,233461707,4404.87
06-MAR-2024,6091.15,6113.9,5914,6045.7,250187109,4716.52
07-MAR-2024,6050.1,6098.75,6022.45,6039.7,201887064,4140.1
11-MAR-2024,6041.1,6055.85,5936.2,5950.85,228510223,4748.54
12-MAR-2024,5943,5949.65,5840.05,5859.55,219509980,4296.91
13-MAR-2024,5850.5,5853.45,5396.45,5457.45,419912678,7055.21
14-MAR-2024,5437.6,5600.05,5402.1,5582.15,485157794,7459.73
15-MAR-2024,5600.35,5635.15,5295.45,5486.65,577172121,11343.64
18-MAR-2024,5499.35,5547.55,5456.65,5509.1,265533397,4254.82
19-MAR-2024,5478.5,5515.5,5404.4,5435.05,207277193,3938.13
20-MAR-2024,5462.15,5500.8,5378.9,5492.6,179604987,3010.21
21-MAR-2024,5549.65,5657.95,5543.75,5647.55,236896124,4828.09
22-MAR-2024,5640.8,5703,5588.5,5660.3,212445740,4074.31
26-MAR-2024,5622.1,5707.3,5595.1,5686.5,176447257,3701.6
27-MAR-2024,5712.05,5745.75,5656.55,5671.9,353650976,7018.42
28-MAR-2024,5697.6,5803.8,5692.4,5759.35,215701179,4253.28
01-APR-2024,5813,5872.95,5790.25,5867.1,177679508,4196.86
02-APR-2024,5880.15,5953.95,5869,5945.9,344662003,6807.44
03-APR-2024,5957.95,6019.3,5928.8,6000.85,278010269,7246.58
