Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-JUN-2023,28645.7,28674.45,28322.15,28355.35,19079094,2508.81
12-JUN-2023,28457.45,28844.3,28402.55,28784,18162055,2646.75
13-JUN-2023,28935.9,28974.15,28866.2,28899.3,17906413,2321.49
14-JUN-2023,28896.25,28928.65,28666.9,28855.05,18287941,2346.91
15-JUN-2023,28824.6,28833.25,28645.8,28699,27881632,3147.01
16-JUN-2023,28671.1,28759.4,28441.05,28588.8,42621755,4806.04
19-JUN-2023,28641.45,28750.7,28568.55,28708.3,16252353,2302.92
20-JUN-2023,28728.5,28966.95,28640.3,28930.8,20007621,2652.29
21-JUN-2023,29022.7,29084.45,28869.8,29025.7,15564246,2288.52
22-JUN-2023,28969.15,28977.9,28750.4,28811.15,17641414,2426.83
23-JUN-2023,28747.6,28752.5,28482.15,28554.25,18316417,2566.47
26-JUN-2023,28539.8,28631.75,28451.15,28590.1,12114033,2092.82
27-JUN-2023,28681.95,28821.85,28630.45,28800.15,11737434,1925.14
28-JUN-2023,28945,28997.35,28778.15,28842.95,15968318,2505.41
30-JUN-2023,29013.15,29594.2,28957.15,29563,27993009,4303.21
03-JUL-2023,29648.4,29718.95,29334.4,29424.8,19273869,2840.04
04-JUL-2023,29557.55,29743.35,29444.8,29729.85,19017080,2555.26
05-JUL-2023,29910,29910.35,29702.65,29841.85,21322294,3339.79
06-JUL-2023,29792.1,29848.05,29690.25,29805.2,18418434,2653.45
07-JUL-2023,29654.25,29937.75,29508.85,29560.45,18800490,2853.94
10-JUL-2023,29609.85,29609.85,29116.3,29194.7,15841523,2423.42
11-JUL-2023,29299.3,29371.5,29092.7,29324.8,20057304,2788.79
12-JUL-2023,29412.5,29424.75,29020.2,29118.05,24422329,5191.31
13-JUL-2023,29158.55,29903.65,29115.7,29628.2,39793663,6061.13
14-JUL-2023,29860.55,31017.55,29847.05,30945.5,53639539,8299.91
17-JUL-2023,31007.6,31658.1,30805,31041.6,51052641,6684.44
18-JUL-2023,31089.9,31491.75,30865.85,31371.15,37119435,5987.78
19-JUL-2023,31490.45,31653.85,31068.15,31353.55,29965963,5285.03
20-JUL-2023,31292.35,31348.6,30960.75,31145.9,20478228,3302.47
21-JUL-2023,29854.25,30338.1,29701.2,29871.05,78277235,11485.03
24-JUL-2023,29993.85,30112.9,29807.15,29843.45,21689374,3308.02
25-JUL-2023,29899,29921.4,29685.4,29761.15,17989629,2683.2
26-JUL-2023,29854.4,29988.9,29770.2,29800.4,15984432,2428.84
27-JUL-2023,29826,29895,29670.5,29745,36217924,4758.95
28-JUL-2023,29741.15,29829.75,29339.35,29490.25,19445123,2934.94
31-JUL-2023,29605.5,29951.6,29452.35,29928.45,22494998,3431.45
01-AUG-2023,29998.15,30348.75,29948,30288.65,20722121,3403.09
02-AUG-2023,30253.1,30259.4,29801.55,30043.6,19250370,3145.09
03-AUG-2023,29913.65,30054.35,29685.15,29971.1,17323760,2723.96
04-AUG-2023,30082.55,30555.8,30027.3,30436.1,22490374,3208.56
07-AUG-2023,30582.45,30809,30451.35,30779.25,14994222,2411.84
08-AUG-2023,30817.25,30910.55,30670.15,30824.95,22479772,3070.81
09-AUG-2023,30772.5,30964.7,30590.55,30940.05,16953572,2547.48
10-AUG-2023,30845.65,30967.75,30722.2,30867,16853228,2456.43
11-AUG-2023,30950.3,31164.3,30764.5,30819.15,23253211,3548.79
14-AUG-2023,30755.8,31058.9,30570.5,31028.9,13650313,2308.33
16-AUG-2023,31129.3,31304.75,31047,31212.1,20437311,3329.54
17-AUG-2023,31205.3,31238.25,30885.4,31060.2,17297179,2926.83
18-AUG-2023,30907.45,30934.1,30515,30604.05,19949872,3107.69
21-AUG-2023,30626.25,30987.65,30597.05,30937.55,12871939,2152.18
22-AUG-2023,30973.9,31024.6,30785.7,30902.4,11442798,1817.63
23-AUG-2023,31036.95,31084.65,30887.45,30924.1,12220885,2019.53
24-AUG-2023,31084.55,31212.45,31004.75,31112.1,37465608,13217.87
25-AUG-2023,30907.85,30998.95,30803,30914.55,15196452,2999.06
28-AUG-2023,30975.35,31025.75,30745,30773.6,11138519,1982.11
29-AUG-2023,30899.95,30978.25,30784.85,30866.05,11379021,2151.07
30-AUG-2023,31069.85,31197.75,31023.75,31103.9,11775164,2223.06
31-AUG-2023,31175.1,31428,31067.7,31164.9,35348359,5582.12
01-SEP-2023,31166.6,31550.95,31149.25,31514.35,14318264,2431.56
04-SEP-2023,31552.5,32197.85,31454.5,32163.95,30834344,4055.91
05-SEP-2023,32207.4,32482.65,32014.95,32365.3,23992104,3741.61
06-SEP-2023,32437.85,32515.05,32038.55,32312.3,19392412,3314.75
07-SEP-2023,32264.5,32497.65,32153.4,32448.35,17738654,2984.65
08-SEP-2023,32450.75,32561.25,32353.4,32415.65,12730664,2217.89
11-SEP-2023,32531,32674.45,32458.05,32642.8,15301652,2564.47
12-SEP-2023,32758.55,33114.15,32429.5,32977.9,24395076,4147.34
13-SEP-2023,32943.15,32982.35,32713.1,32886.7,14941956,2539.18
14-SEP-2023,32991.45,33240.2,32949.55,33045.4,23991756,3752.73
15-SEP-2023,33216.9,33402.75,33156.2,33355.05,31941863,4729.15
18-SEP-2023,33255.1,33266.9,33030.35,33129.5,14208277,2379.48
20-SEP-2023,32860.9,33167.3,32851.75,32949.2,16602223,2639.38
21-SEP-2023,32849.9,32976.85,32504.75,32919.95,20687894,3380.14
22-SEP-2023,32799.05,33109.65,32664.4,32906.3,22947809,3043.59
25-SEP-2023,32881.35,32960.95,32581.15,32648.6,15198139,2477.79
26-SEP-2023,32675.1,32693.25,32391.45,32471,12200009,2104.44
27-SEP-2023,32439.05,32651,32339.95,32594.65,13787962,2299.45
