Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-JUN-2023,9637.6,9650.05,9590.25,9598.85,229547308,3983.44
12-JUN-2023,9628.45,9685.8,9592.55,9675.65,221381197,4071.77
13-JUN-2023,9696.15,9801.3,9694.35,9795.5,398079157,7007.35
14-JUN-2023,9825.8,9833,9793.4,9819.65,543766989,6465.72
15-JUN-2023,9835.25,9864.3,9796.05,9803.35,347405729,5920.69
16-JUN-2023,9831.75,9906.35,9817.35,9884.2,386505372,6589.59
19-JUN-2023,9926.8,9950.25,9880,9891.55,315442934,6024.41
20-JUN-2023,9900,9968.2,9871.55,9957.55,306248531,6483.84
21-JUN-2023,10033.8,10081.3,10003.9,10032.4,506619865,9721.54
22-JUN-2023,10047.5,10047.7,9872.75,9911.45,460064032,7255.08
23-JUN-2023,9901,9905.4,9780.3,9807.25,329802415,6280.89
26-JUN-2023,9809.4,9894,9762.65,9883.8,275493146,4657.38
27-JUN-2023,9910.8,9957.55,9900.8,9945.1,318676469,5004.85
28-JUN-2023,9994,10062.25,9966,10040.05,434332754,7456.07
30-JUN-2023,10072.85,10133.25,10060.4,10126.85,316911204,7318.55
03-JUL-2023,10189.75,10199.2,10126,10142.95,389705855,6147.82
04-JUL-2023,10182.8,10184.5,10095.8,10119.6,585768042,7447.32
05-JUL-2023,10137.05,10205.05,10113.45,10194.15,434836102,8036.81
06-JUL-2023,10200.8,10271.9,10182.4,10267.4,321731559,6126.14
07-JUL-2023,10255.75,10266.5,10117.9,10169.95,340847449,6704.67
10-JUL-2023,10203.6,10203.95,10099.1,10141.85,356242742,5917.21
11-JUL-2023,10173.2,10275.15,10169.1,10249.25,291112601,7245.71
12-JUL-2023,10282.25,10306.05,10244.9,10286,301082674,6856.38
13-JUL-2023,10321.6,10327.7,10161.45,10193.95,393650317,7104.43
14-JUL-2023,10241.85,10356.85,10218.75,10350.95,275290587,7082.86
17-JUL-2023,10382.75,10423.05,10361.55,10373.75,471137107,8018.54
18-JUL-2023,10411.85,10416.35,10314.3,10368.6,503124122,7275.64
19-JUL-2023,10396.5,10460,10384.55,10454.9,480452359,8081.6
20-JUL-2023,10481.3,10483.3,10447.45,10476.25,340706960,8407.31
21-JUL-2023,10428.8,10479.3,10411.95,10446.55,460009565,9473.57
24-JUL-2023,10461.05,10522.3,10437.7,10461.2,498321537,8702.1
25-JUL-2023,10515.1,10515.8,10428.45,10503.45,335521652,6908.93
26-JUL-2023,10530.85,10585.8,10519.45,10562.15,780206031,7551.85
27-JUL-2023,10615.35,10656.45,10583.1,10624.5,719703109,9458.86
28-JUL-2023,10644.8,10694.75,10623.75,10686.3,397724798,7991.17
31-JUL-2023,10704.2,10831.5,10689.45,10822.5,506524904,7779.56
01-AUG-2023,10854.5,10864.15,10772.4,10793.95,277040776,7176.73
02-AUG-2023,10781.65,10784.9,10548.85,10643.2,434542802,8935.78
03-AUG-2023,10628.2,10696.55,10581.9,10657.55,322326026,7550.3
04-AUG-2023,10705.8,10780.35,10666,10741.9,388733350,8424.34
07-AUG-2023,10761.9,10795.35,10739.55,10787.8,366485624,7223.08
08-AUG-2023,10818.85,10840.65,10708.8,10803.4,505547260,8242.41
